,device_id,zip,size,trainrow,testrow
73,-9205132464709394294,15,4,,45842.0
74,-9204782609839902053,12,1,35651.0,
75,-9204609750940074729,12,2,,
76,-9204609750940074729,505,47,,
77,-9204079536013950954,12,1,,64409.0
78,-9203757802004465556,224,130,,85157.0
79,-9203133123909167147,128,1,,25555.0
80,-9202580814092294026,12,3,,35360.0
81,-9202580814092294026,234,7,,35360.0
82,-9202108340585996084,12,16,47660.0,
83,-9201753074671151461,12,1,,
84,-9201680419906451304,12,1,,94164.0
85,-9201680419906451304,219,30,,94164.0
86,-9201651555179576228,12,8,,62655.0
87,-9201434269962947628,12,8,11284.0,
88,-9201141107731295908,476,72,65433.0,
89,-9201125158282496009,12,2,24624.0,
90,-9200975789875358770,12,5,37081.0,
91,-9200975789875358770,62,1,37081.0,
92,-9200975789875358770,63,9,37081.0,
93,-9200888124044818254,12,1,,71794.0
94,-9199963937999577591,12,119,,83184.0
95,-9199138777084532472,12,3,,76083.0
96,-9199083577376181010,236,14,,77218.0
97,-9198891310962139423,12,2,,63414.0
98,-9198513807097378193,12,13,63225.0,
99,-9198101171297743019,12,2,,73655.0
100,-9197878570382219630,12,63,,99505.0
101,-9197430367533972935,12,10,,102827.0
102,-9197301066560262364,12,59,50369.0,
103,-9197277879836806881,12,11,,36750.0
104,-9197217889644009361,12,20,,36721.0
105,-9196091252058156435,129,3,,105233.0
106,-9196045511688229584,256,4,,64194.0
107,-9196045511688229584,257,26,,64194.0
108,-9195844738096952132,12,6,67860.0,
109,-9195568263718055018,12,2,13933.0,
110,-9195568263718055018,430,15,13933.0,
111,-9194541501184019971,12,1,,33426.0
112,-9194249084574705214,399,1,,102822.0
113,-9193725515318035794,12,7,,80488.0
114,-9193588233906424134,12,14,,7394.0
115,-9193588233906424134,656,22,,7394.0
116,-9193464968161690954,12,7,,40990.0
117,-9193015452864618221,12,2,73309.0,
118,-9192717653849580370,12,3,,
119,-9192503757087427819,12,7,38869.0,
120,-9192503757087427819,154,20,38869.0,
121,-9192503757087427819,155,47,38869.0,
122,-9192296866553840008,12,8,,51043.0
123,-9192296866553840008,250,19,,51043.0
124,-9192093602459649462,12,8,,
125,-9192047247279718902,12,1,,21484.0
126,-9191986234751995565,12,2,8257.0,
127,-9191969587902337509,12,74,,109798.0
128,-9191509632756117302,12,2,,64432.0
129,-9191390827140274833,12,13,47747.0,
130,-9190930840422044863,12,64,,110010.0
131,-9190825597212946223,80,2,27592.0,
132,-9190825597212946223,81,10,27592.0,
133,-9190825597212946223,101,7,27592.0,
134,-9190825597212946223,257,64,27592.0,
135,-9190587521223040717,298,11,,22858.0
136,-9189961910063477068,12,16,,38343.0
137,-9189961910063477068,15,4,,38343.0
138,-9189961910063477068,298,79,,38343.0
139,-9189876576066510213,101,14,,1037.0
140,-9189759443873396675,12,7,,20121.0
141,-9189315790000445878,12,13,,110417.0
142,-9189141758524731274,12,6,,29035.0
143,-9188752403315300986,12,10,,85529.0
144,-9187779013676886888,225,19,,101506.0
145,-9187728921289454612,129,12,,48062.0
146,-9187728921289454612,257,1,,48062.0
147,-9186795909905699099,12,1,25999.0,
148,-9186697437359459449,12,11,,97779.0
149,-9186697437359459449,155,72,,97779.0
150,-9186067085839825449,12,1,,47854.0
151,-9186057251409486602,12,2,,6502.0
152,-9186057251409486602,256,250,,6502.0
153,-9186057251409486602,257,162,,6502.0
154,-9186057251409486602,281,10,,6502.0
155,-9186057251409486602,302,113,,6502.0
156,-9185957935712317177,264,5,,38250.0
157,-9185683155567867976,12,59,51640.0,
158,-9185683155567867976,477,24,51640.0,
159,-9185461124582266213,14,11,,13442.0
160,-9185461124582266213,15,9,,13442.0
161,-9185115130004278864,12,56,40102.0,
162,-9185095540883605384,12,4,59474.0,
163,-9184903836810508632,12,3,53440.0,
164,-9184594088256165498,12,99,,100577.0
165,-9184594088256165498,165,11,,100577.0
166,-9184589235923088607,12,1,,90599.0
167,-9184455958495153720,12,2,,39994.0
168,-9184312039011717650,12,1,,73956.0
169,-9184312039011717650,273,27,,73956.0
170,-9184179133460531226,12,19,19324.0,
171,-9183772820293076895,504,193,,29715.0
172,-9183550102450404713,12,6,,87936.0
173,-9183476687724386719,12,8,,110299.0
174,-9182923830743954408,12,20,29441.0,
175,-9182668758631989277,12,9,,96772.0
176,-9182668758631989277,236,37,,96772.0
177,-9182609595080480496,12,4,,96147.0
178,-9182609595080480496,219,3,,96147.0
179,-9182270938122267037,193,22,39873.0,
180,-9182172144147261534,12,1,,105434.0
181,-9182131588740145929,12,1,,
182,-9182040156710847707,12,10,45038.0,
183,-9182040156710847707,138,144,45038.0,
184,-9181898531916877432,12,130,,13862.0
185,-9181738358000344093,533,1,,67413.0
186,-9181603575279521900,449,39,21202.0,
187,-9181506475929235673,12,1,,31830.0
188,-9181500556164740330,12,11,65336.0,
189,-9181164591425858388,12,36,,23157.0
190,-9180992565960989402,12,5,,
191,-9180533061231986183,12,1,,
192,-9180533061231986183,625,6,,
193,-9180409758320043770,12,11,,72877.0
194,-9180409758320043770,251,1,,72877.0
195,-9180409758320043770,252,20,,72877.0
196,-9180330522697778980,12,235,,101266.0
197,-9180330522697778980,298,423,,101266.0
198,-9180154607226530277,12,1,,
199,-9180154607226530277,504,9,,
200,-9179392810848439302,12,19,,94344.0
201,-9179392810848439302,217,4,,94344.0
202,-9179301033667478277,12,20,,52883.0
203,-9179119563003096225,314,118,,65479.0
204,-9178849278691786852,12,1,54714.0,
205,-9178218952026352936,12,52,70880.0,
206,-9177807936577560987,12,5,,59747.0
207,-9177675897314678726,12,48,,41795.0
208,-9177675897314678726,129,1,,41795.0
209,-9177461074950576614,12,10,49971.0,
210,-9177461074950576614,101,66,49971.0,
211,-9176548072202141379,12,2,67713.0,
212,-9176478465042310715,12,1,,10836.0
213,-9176094791256868912,12,4,57036.0,
214,-9175623150662212253,12,9,25503.0,
215,-9174782581415497963,12,112,,91457.0
216,-9174709762639367900,12,34,42038.0,
217,-9174409012143247712,12,1,68483.0,
218,-9174409012143247712,316,5,68483.0,
219,-9174317841723346101,12,1,,42754.0
220,-9174142387982011518,12,140,55205.0,
221,-9174142387982011518,450,1,55205.0,
222,-9174142387982011518,476,2,55205.0,
223,-9174142387982011518,477,16,55205.0,
224,-9174017783719729045,12,5,,
225,-9173774246501780929,12,10,30004.0,
226,-9173774246501780929,81,8,30004.0,
227,-9173774246501780929,257,35,30004.0,
228,-9173548009846176267,12,5,,78435.0
229,-9173548009846176267,81,13,,78435.0
230,-9173470456704182813,12,58,25055.0,
231,-9173166457737320281,12,1,,89869.0
232,-9173065008722679054,297,30,,39597.0
233,-9173065008722679054,316,3,,39597.0
234,-9172470603844360189,12,19,62257.0,
235,-9171984829241460911,281,11,65944.0,
236,-9171692083851604107,257,2,51097.0,
237,-9171686863416567881,12,8,,14008.0
238,-9171686863416567881,531,131,,14008.0
239,-9171634610175383030,12,1,8388.0,
240,-9170269697234054624,12,2,38067.0,
241,-9170269697234054624,298,6,38067.0,
242,-9170266620213363189,12,153,21451.0,
243,-9169899275162689706,12,2,34384.0,
244,-9169850355110102287,12,22,,69650.0
245,-9169850355110102287,104,597,,69650.0
246,-9168942727641233019,12,26,,92560.0
247,-9168827647689912761,12,1,,82439.0
248,-9168827647689912761,417,10,,82439.0
249,-9168479309246856017,12,1,,66809.0
250,-9168251933057352770,12,10,,85047.0
251,-9168251933057352770,80,133,,85047.0
252,-9168251933057352770,81,8,,85047.0
253,-9168077742563343585,12,8,,38551.0
254,-9167960113940184827,297,10,43021.0,
255,-9167960113940184827,352,6,43021.0,
256,-9167715404341299030,12,24,,
257,-9167715404341299030,577,42,,
258,-9167659514917737158,12,2,,108669.0
259,-9167361556140954435,12,4,,100703.0
260,-9167361556140954435,271,205,,100703.0
261,-9167208698366288297,12,75,,74974.0
262,-9167146909920402361,12,9,,90223.0
263,-9167060588995723650,219,4,11567.0,
264,-9166748963886629456,12,5,,81953.0
265,-9166748963886629456,274,1,,81953.0
266,-9166748963886629456,298,350,,81953.0
267,-9166700200977601314,12,5,,87918.0
268,-9166700200977601314,101,17,,87918.0
269,-9166551327358249528,12,1,,29902.0
270,-9166511407775405803,12,1,,80757.0
271,-9166214365468049058,12,5,,108808.0
272,-9166214365468049058,362,10,,108808.0
273,-9166033337121592112,12,11,,68834.0
274,-9166033337121592112,379,2,,68834.0
275,-9166033337121592112,429,5,,68834.0
276,-9166029627114680052,12,4,,74044.0
277,-9165826109850434362,12,1,,93620.0
278,-9165078741528677753,12,21,7856.0,
279,-9164938958457681055,12,7,,51673.0
280,-9164938958457681055,298,145,,51673.0
281,-9163358550512865590,12,4,63122.0,
282,-9163332590162009213,12,1,,101164.0
283,-9162848328412258499,12,6,12091.0,
284,-9162848328412258499,476,2,12091.0,
285,-9162689783589954482,12,2,,110238.0
286,-9162527138997057351,356,2,,31491.0
287,-9162141008013281508,450,8,,81347.0
288,-9161779555521396847,12,1,52340.0,
289,-9161182792644589448,12,2,48382.0,
290,-9161106488982207681,12,6,71090.0,
291,-9161106488982207681,375,56,71090.0,
292,-9160772583967929589,12,2,62647.0,
293,-9160772583967929589,61,6,62647.0,
294,-9160645806948539138,12,1,60915.0,
295,-9159795190672267149,12,26,,97330.0
296,-9159722293246783005,216,107,,38542.0
297,-9159362333654849758,256,27,67665.0,
298,-9159362333654849758,257,1,67665.0,
299,-9159099501325141875,12,38,,110062.0
300,-9159099501325141875,221,37,,110062.0
301,-9158879548978516517,12,61,,361.0
302,-9158879548978516517,476,80,,361.0
303,-9158879548978516517,504,9,,361.0
304,-9158733571974617700,12,135,30800.0,
305,-9158621086248204167,12,25,,92783.0
306,-9158402583451458911,12,1,17891.0,
307,-9158393146383062039,12,11,67932.0,
308,-9158393146383062039,422,15,67932.0,
309,-9158330138047754994,12,1,,39402.0
310,-9158330138047754994,477,4,,39402.0
311,-9158261852082333364,12,60,,110201.0
312,-9158180728130532608,12,33,,41473.0
313,-9158180728130532608,80,1,,41473.0
314,-9158180728130532608,81,14,,41473.0
315,-9157751362226974254,216,10,,21757.0
316,-9157234747001881930,12,1,,74602.0
317,-9156769850272239256,80,39,67417.0,
318,-9156025818459959950,12,3,32197.0,
319,-9155576106019233985,296,6,13939.0,
320,-9155576106019233985,307,4,13939.0,
321,-9155576106019233985,315,54,13939.0,
322,-9155354731473910310,12,39,,74687.0
323,-9155219102136125817,12,5,23957.0,
324,-9155173719429545302,12,54,,66593.0
325,-9154634736868150566,12,1,71834.0,
326,-9154129181777245852,12,7,,83011.0
327,-9154058956133567978,12,1,,106848.0
328,-9154058956133567978,101,4,,106848.0
329,-9154058956133567978,257,3,,106848.0
330,-9153933338384923161,12,113,39922.0,
331,-9153933338384923161,273,29,39922.0,
332,-9153651865002240256,12,4,,
333,-9153596414452678479,12,3,,16880.0
334,-9153533684426692614,12,3,,88551.0
335,-9153359559453120806,12,5,10696.0,
336,-9153318677042820931,12,12,,52807.0
337,-9152984237208394528,12,1,,24913.0
338,-9152710095321136345,12,1,,75895.0
339,-9152710095321136345,101,10,,75895.0
340,-9151932079029728088,12,2,41279.0,
341,-9151932079029728088,257,314,41279.0,
342,-9151466112389699862,12,5,,33825.0
343,-9151466112389699862,267,8,,33825.0
344,-9151380756297883441,12,4,44556.0,
345,-9150780438608446728,236,4,19722.0,
346,-9150615472486211664,12,1,,64163.0
347,-9150615472486211664,98,3,,64163.0
348,-9150565211559885847,12,2,,65868.0
349,-9150058871674889191,12,83,61200.0,
350,-9150025819192447963,12,1,42777.0,
351,-9150025819192447963,451,61,42777.0,
352,-9149916424756836210,12,5,,82451.0
353,-9149916424756836210,267,5,,82451.0
354,-9149796298931038588,351,5,,21681.0
355,-9149453041847229293,12,2,,92908.0
356,-9149453041847229293,476,31,,92908.0
357,-9149022648100002006,12,9,,57087.0
358,-9149005536079835617,12,23,61929.0,
359,-9149005536079835617,177,15,61929.0,
360,-9148902481985703745,12,7,,85564.0
361,-9148902481985703745,124,131,,85564.0
362,-9148504360104384619,437,10,39049.0,
363,-9148504360104384619,463,7,39049.0,
364,-9148435757671165885,12,30,,11867.0
365,-9148435757671165885,437,906,,11867.0
366,-9148047433554848184,12,11,35125.0,
367,-9148047433554848184,15,192,35125.0,
368,-9147422907505296356,12,47,,29034.0
369,-9147422907505296356,372,14,,29034.0
370,-9147156711294658844,81,3,,43009.0
371,-9146895209498043819,378,2,35451.0,
372,-9146464840760395156,12,27,38830.0,
373,-9146464840760395156,297,2,38830.0,
374,-9146211870217244693,12,11,,92160.0
375,-9145079538480015947,476,10,,44656.0
376,-9144250633292768216,12,2,,73613.0
377,-9143897850807885895,12,34,,44057.0
378,-9143847280703913110,12,1,,77730.0
379,-9143411316281862002,12,2,,21381.0
380,-9143008325072501277,12,1,,78683.0
381,-9142943697566922084,12,21,6749.0,
382,-9142943697566922084,295,17,6749.0,
383,-9142601211169887284,12,47,,93534.0
384,-9142601211169887284,476,97,,93534.0
385,-9142468307796950566,12,78,,83504.0
386,-9142466291951694951,529,298,,111292.0
387,-9142401001573648112,12,6,,90440.0
388,-9142376725008534333,12,28,74456.0,
389,-9142376725008534333,475,1,74456.0,
390,-9142376725008534333,476,19,74456.0,
391,-9140829020342736199,476,1,,
392,-9140293699412993860,12,5,11501.0,
393,-9140259178310260459,12,2,,12622.0
394,-9140259178310260459,403,134,,12622.0
395,-9139757358587513392,12,4,23931.0,
396,-9139757358587513392,219,28,23931.0,
397,-9139549651607370599,12,3,74241.0,
398,-9139549651607370599,219,1,74241.0,
399,-9139512098545222229,12,25,39797.0,
400,-9139512098545222229,210,4,39797.0,
401,-9138905463130540994,12,2,,97999.0
402,-9138828907139182695,12,1,,62375.0
403,-9138828907139182695,396,16,,62375.0
404,-9138828907139182695,476,7,,62375.0
405,-9138402175982492548,12,19,,105248.0
406,-9138402175982492548,476,7,,105248.0
407,-9138332636663558165,12,18,26798.0,
408,-9138064863526363121,12,1,29156.0,
409,-9137920294879632359,12,11,45522.0,
410,-9137603632119682404,12,68,,64389.0
411,-9137123892151396745,12,28,23091.0,
412,-9137123892151396745,257,8,23091.0,
413,-9137123892151396745,265,1,23091.0,
414,-9137123892151396745,289,43,23091.0,
415,-9137123892151396745,290,4,23091.0,
416,-9137123892151396745,309,42,23091.0,
417,-9136778087624215912,12,4,,27762.0
418,-9136552612220152440,12,29,,19808.0
419,-9136552612220152440,298,13,,19808.0
420,-9136143913880471679,12,21,,75207.0
421,-9136079730372736740,12,1,,
422,-9135912902491353573,12,2,65605.0,
423,-9135878445495545206,12,45,55601.0,
424,-9135707731845723965,12,9,,49253.0
425,-9135596220786379192,12,2,,73955.0
426,-9135437265387254674,295,5,69703.0,
427,-9135068837991621094,12,1,50028.0,
428,-9134556132023507861,101,1,303.0,
429,-9134549609499224355,12,1,,39940.0
430,-9133920817111653785,12,7,,34872.0
431,-9133594802141864006,12,1,,
432,-9133255755135006117,12,1,59758.0,
433,-9133255755135006117,80,7,59758.0,
434,-9133255755135006117,101,6,59758.0,
435,-9133077841078810532,12,16,,40108.0
436,-9132608508154598460,12,19,,88903.0
437,-9132600467596064152,12,2,74300.0,
438,-9132600467596064152,81,13,74300.0,
439,-9132016908397290901,12,2,15016.0,
440,-9131971399375912007,12,138,,108463.0
441,-9131971399375912007,337,3,,108463.0
442,-9131719865580917288,12,4,,76608.0
443,-9131719865580917288,225,152,,76608.0
444,-9131107067989216778,12,1,,105965.0
445,-9131107067989216778,176,5,,105965.0
446,-9130921979368169180,154,9,,4398.0
447,-9130921979368169180,178,52,,4398.0
448,-9130829701167825592,12,18,,58139.0
449,-9130147578949726534,12,38,,70272.0
450,-9130147578949726534,267,49,,70272.0
451,-9129723634773029624,12,11,,81387.0
452,-9128751495957390490,12,3,,13372.0
453,-9128599196840350856,12,11,43309.0,
454,-9128599196840350856,297,36,43309.0,
455,-9128496817080756544,12,1,,48028.0
456,-9128163045239886729,12,3,,62889.0
457,-9127983430276123114,12,1,19972.0,
458,-9127983430276123114,129,77,19972.0,
459,-9127983430276123114,154,84,19972.0,
460,-9127983430276123114,155,4,19972.0,
461,-9127983430276123114,177,9,19972.0,
462,-9127983430276123114,178,287,19972.0,
463,-9127284204001294289,12,3,70684.0,
464,-9127223053433410547,12,32,,36379.0
465,-9127223053433410547,298,38,,36379.0
466,-9127217475289293558,12,49,,85291.0
467,-9127213973650576904,12,25,19583.0,
468,-9126875497787024816,12,7,14843.0,
469,-9126852565997644833,12,1,,32385.0
470,-9126852565997644833,219,89,,32385.0
471,-9126628141207875292,12,6,,108979.0
472,-9125275793462800722,12,13,41036.0,
473,-9124820054102102561,12,20,,75973.0
474,-9124604109480921179,81,27,,111550.0
475,-9124556605334300119,12,1,,76456.0
476,-9124556605334300119,476,296,,76456.0
477,-9124308220957381253,12,16,29236.0,
478,-9124308220957381253,330,15,29236.0,
479,-9124141452628560252,12,185,53164.0,
480,-9123720790094409395,12,2,,
481,-9122996534078663360,12,16,,103614.0
482,-9122798270116256015,12,25,,71393.0
483,-9122798270116256015,531,52,,71393.0
484,-9122745692722607839,12,61,28431.0,
485,-9122745692722607839,296,719,28431.0,
486,-9122549769802880442,12,9,,
487,-9122549769802880442,476,936,,
488,-9121048927329128477,12,2,,86801.0
489,-9120472284694669694,12,13,,101542.0
490,-9120221202722660598,12,12,,69394.0
491,-9120150687627269004,12,83,,504.0
492,-9120150687627269004,296,9,,504.0
493,-9119928013959190406,12,28,,88392.0
494,-9119928013959190406,215,43,,88392.0
495,-9119667705235726867,295,5,,39325.0
496,-9119667705235726867,315,4,,39325.0
497,-9119360933209236817,12,5,,83694.0
498,-9119360933209236817,273,11,,83694.0
499,-9119284625826462791,12,12,,80568.0
500,-9118887241036607293,12,3,50590.0,
501,-9118887241036607293,346,125,50590.0,
502,-9118749350345620696,12,14,17010.0,
503,-9118749350345620696,295,158,17010.0,
504,-9118451414671594048,12,55,68174.0,
505,-9118424637790631290,12,8,,76957.0
506,-9118424637790631290,75,21,,76957.0
507,-9118424637790631290,96,1,,76957.0
508,-9116041355204522303,12,11,,73709.0
509,-9116041355204522303,129,16,,73709.0
510,-9115950597409016278,12,1,,33577.0
511,-9115950597409016278,101,54,,33577.0
512,-9115950597409016278,363,24,,33577.0
513,-9115714402822216664,12,11,,71168.0
514,-9115714402822216664,15,93,,71168.0
515,-9115590745007321383,12,14,,87518.0
516,-9114811713401289327,12,2,,50456.0
517,-9114811713401289327,476,22,,50456.0
518,-9114599703492078391,12,2,70894.0,
519,-9114362419070442768,12,2,,52827.0
520,-9113771990276591006,12,23,,20835.0
521,-9113771990276591006,372,575,,20835.0
522,-9113136580115572088,12,61,,97366.0
523,-9113136580115572088,336,50,,97366.0
524,-9111593962412253777,374,4,,83762.0
525,-9111513492628746483,12,4,17057.0,
526,-9111289423862853793,12,4,,
527,-9111269278388868224,12,3,48418.0,
528,-9111100911241120008,15,5,68816.0,
529,-9111100911241120008,567,44,68816.0,
530,-9111055107595314923,12,26,19250.0,
531,-9110840092475573913,12,75,,34991.0
532,-9110575428190503875,12,1,36006.0,
533,-9110213118283819490,12,11,,57179.0
534,-9110213118283819490,504,4,,57179.0
535,-9110152048945505676,154,125,,98962.0
536,-9110108414225014324,12,2,,107771.0
537,-9109815564789398415,12,2,,40353.0
538,-9109815564789398415,351,18,,40353.0
539,-9109400979840701568,425,15,,88652.0
540,-9109217889654132490,346,11,,90066.0
541,-9108166834413909435,12,1,848.0,
542,-9108124698819202119,12,1,25836.0,
543,-9108098205881524632,12,9,,65433.0
544,-9108098205881524632,257,1,,65433.0
545,-9107813127335174293,257,22,,76115.0
546,-9107813127335174293,308,4,,76115.0
547,-9107559033507969245,12,16,,81475.0
548,-9107340059971285024,12,22,,28949.0
549,-9107022519237996384,12,7,58223.0,
550,-9106816270226886682,12,4,,55346.0
551,-9106816270226886682,297,12,,55346.0
552,-9106656691323957018,12,8,,346.0
553,-9106512881320577028,12,2,,59259.0
554,-9106449676804591392,12,3,43241.0,
555,-9106193280969645554,293,3,,89977.0
556,-9105987440015885683,12,72,10808.0,
557,-9105781025062679442,12,23,,84769.0
558,-9105781025062679442,317,312,,84769.0
559,-9105747903105472083,12,3,,107433.0
560,-9105675053786764437,12,49,,7513.0
561,-9105675053786764437,355,19,,7513.0
562,-9105675053786764437,431,80,,7513.0
563,-9104778245403404400,12,45,,33661.0
564,-9104696846276818877,12,8,44133.0,
565,-9104495743867016619,12,13,,65738.0
566,-9104495743867016619,527,68,,65738.0
567,-9104274633746045564,12,4,,76661.0
568,-9104035836085385209,12,33,,17409.0
569,-9104035836085385209,15,274,,17409.0
570,-9104035836085385209,402,14,,17409.0
571,-9104016315232997329,81,87,64610.0,
572,-9103742610203876335,12,9,,80124.0
573,-9103344426105443058,12,3,33849.0,
574,-9103233885631661382,12,13,,65516.0
575,-9102874319378078549,12,1,,79364.0
576,-9102874319378078549,348,47,,79364.0
577,-9102874319378078549,349,11,,79364.0
578,-9102576455136214303,12,5,,76676.0
579,-9102199405850999593,12,101,,54481.0
580,-9102087728909316772,12,4,,67871.0
581,-9102087728909316772,298,16,,67871.0
582,-9101962973644735950,476,98,52326.0,
583,-9101460140912890974,12,47,66118.0,
584,-9101136702913293314,12,91,8938.0,
585,-9101023824116125859,12,2,,
586,-9100884996787155461,12,2,,73213.0
587,-9100162329439998667,12,14,,52950.0
588,-9100162329439998667,219,5,,52950.0
589,-9099960067561012003,12,4,57223.0,
590,-9099266952536585454,12,11,20417.0,
591,-9099079396602537376,476,73,65988.0,
592,-9099079396602537376,504,14,65988.0,
593,-9099020198116946276,12,5,55466.0,
594,-9099020198116946276,273,1,55466.0,
595,-9099009936502614638,12,111,,27300.0
596,-9098095498910626527,12,48,,34323.0
597,-9097747613312563754,12,40,24204.0,
598,-9097747613312563754,298,5,24204.0,
599,-9097565252639585769,12,5,,51473.0
600,-9097565252639585769,370,7,,51473.0
601,-9097549639128152428,12,26,,7876.0
602,-9097549639128152428,351,11,,7876.0
603,-9097490400170843577,12,78,,61143.0
604,-9097490400170843577,15,9,,61143.0
605,-9097490400170843577,101,22,,61143.0
606,-9097403336817160147,12,73,,22331.0
607,-9097331952482920175,481,57,,59886.0
608,-9097034653448679048,129,6,63853.0,
609,-9097034653448679048,154,130,63853.0,
610,-9097034653448679048,155,90,63853.0,
611,-9097034653448679048,504,51,63853.0,
612,-9096673841106139633,12,4,,62166.0
613,-9096673841106139633,372,4,,62166.0
614,-9096673841106139633,398,40,,62166.0
615,-9096643543443800046,12,5,41096.0,
616,-9096061500676615584,12,3,,53846.0
617,-9095644473739708822,12,7,,38231.0
618,-9095644473739708822,295,22,,38231.0
619,-9095571329634519602,12,1,,62653.0
620,-9095346687579680283,12,1,,
621,-9095340833701621983,12,1,,14840.0
622,-9095328961082954879,12,8,55138.0,
623,-9095000333016861266,12,1,,10955.0
624,-9094702759275901498,12,27,,52230.0
625,-9094327497002478204,12,1,,107986.0
626,-9094190112108644702,12,1,,805.0
627,-9093812922411006100,101,1,,110366.0
628,-9093812922411006100,257,1,,110366.0
629,-9093812922411006100,363,2,,110366.0
630,-9093521948338891267,12,10,56372.0,
631,-9092724045845108022,12,7,,73130.0
632,-9092260915095538172,12,4,,42698.0
633,-9092155761955190239,12,1,,12624.0
634,-9091819115135477748,12,6,,57331.0
635,-9091742096515015097,12,5,,77576.0
636,-9091742096515015097,584,41,,77576.0
637,-9091167162131305309,12,31,70383.0,
638,-9091167162131305309,257,43,70383.0,
639,-9091167162131305309,298,137,70383.0,
640,-9091129747969450922,12,29,,69024.0
641,-9090933297529861295,12,6,,
642,-9090933297529861295,353,1,,
643,-9090933297529861295,374,201,,
644,-9090542647442475539,12,227,,111001.0
645,-9090542647442475539,193,62,,111001.0
646,-9090134575924711687,12,1,31946.0,
647,-9090010001701642151,12,2,,69362.0
648,-9090010001701642151,298,46,,69362.0
649,-9089527793362655631,12,1,,90737.0
650,-9089527793362655631,404,58,,90737.0
651,-9089483344433000466,507,31,52844.0,
652,-9089086441056502419,12,1,69318.0,
653,-9089039839613603673,12,14,,103857.0
654,-9089039839613603673,270,13,,103857.0
655,-9087909280172071292,314,5,,49601.0
656,-9087906272753688848,12,8,46767.0,
657,-9087906272753688848,298,16,46767.0,
658,-9087379350984757569,12,4,,49166.0
659,-9087215639232029827,12,2,,102805.0
660,-9087215639232029827,531,2,,102805.0
661,-9086623049323768527,12,34,,70219.0
662,-9086452324172841272,370,1,,108777.0
663,-9086452324172841272,396,35,,108777.0
664,-9086124425935463138,12,251,7836.0,
665,-9086090884397998442,12,4,64735.0,
666,-9086090884397998442,297,55,64735.0,
667,-9085883839502743591,12,1,30412.0,
668,-9084459603330511523,12,7,72193.0,
669,-9084459603330511523,154,31,72193.0,
670,-9084375164435833357,373,4,,
